x,y,order,hole,piece,group,fips,abbr,full
-1249688.2,-1572795,334,FALSE,1,02.1,02,AK,Alaska
-1251962.1,-1575589,335,FALSE,1,02.1,02,AK,Alaska
-1251929.3,-1577941,336,FALSE,1,02.1,02,AK,Alaska
-1253754.3,-1578828,337,FALSE,1,02.1,02,AK,Alaska
-1253022.0,-1582134,338,FALSE,1,02.1,02,AK,Alaska
-1250889.3,-1582670,339,FALSE,1,02.1,02,AK,Alaska
-1247503.0,-1583235,340,FALSE,1,02.1,02,AK,Alaska
-1245873.7,-1584146,341,FALSE,1,02.1,02,AK,Alaska
-1241550.8,-1584476,342,FALSE,1,02.1,02,AK,Alaska
-1242011.3,-1586763,343,FALSE,1,02.1,02,AK,Alaska
-1241929.5,-1590156,344,FALSE,1,02.1,02,AK,Alaska
-1238271.9,-1590017,345,FALSE,1,02.1,02,AK,Alaska
-1234983.9,-1591182,346,FALSE,1,02.1,02,AK,Alaska
-1233012.0,-1592228,347,FALSE,1,02.1,02,AK,Alaska
-1230788.0,-1589018,348,FALSE,1,02.1,02,AK,Alaska
-1229066.6,-1587443,349,FALSE,1,02.1,02,AK,Alaska
-1227258.9,-1587103,350,FALSE,1,02.1,02,AK,Alaska
-1223782.9,-1585740,351,FALSE,1,02.1,02,AK,Alaska
-1221497.6,-1586558,352,FALSE,1,02.1,02,AK,Alaska
-1219605.9,-1588400,353,FALSE,1,02.1,02,AK,Alaska
-1216168.0,-1586883,354,FALSE,1,02.1,02,AK,Alaska
-1213231.3,-1582868,355,FALSE,1,02.1,02,AK,Alaska
-1211231.0,-1583227,356,FALSE,1,02.1,02,AK,Alaska
-1207020.5,-1581608,357,FALSE,1,02.1,02,AK,Alaska
-1202523.8,-1582591,358,FALSE,1,02.1,02,AK,Alaska
-1198394.4,-1584941,359,FALSE,1,02.1,02,AK,Alaska
-1194357.7,-1584144,360,FALSE,1,02.1,02,AK,Alaska
-1191069.2,-1587211,361,FALSE,1,02.1,02,AK,Alaska
-1190674.3,-1589449,362,FALSE,1,02.1,02,AK,Alaska
-1188844.4,-1589613,363,FALSE,1,02.1,02,AK,Alaska
-1186769.1,-1587053,364,FALSE,1,02.1,02,AK,Alaska
-1182832.5,-1588109,365,FALSE,1,02.1,02,AK,Alaska
-1181199.6,-1588886,366,FALSE,1,02.1,02,AK,Alaska
-1179260.3,-1592274,367,FALSE,1,02.1,02,AK,Alaska
-1173875.8,-1592887,368,FALSE,1,02.1,02,AK,Alaska
-1170890.1,-1591393,369,FALSE,1,02.1,02,AK,Alaska
-1169459.7,-1593763,370,FALSE,1,02.1,02,AK,Alaska
-1166743.7,-1593662,371,FALSE,1,02.1,02,AK,Alaska
-1165332.7,-1591452,372,FALSE,1,02.1,02,AK,Alaska
-1159437.1,-1590307,373,FALSE,1,02.1,02,AK,Alaska
-1153346.5,-1590468,374,FALSE,1,02.1,02,AK,Alaska
-1151295.6,-1590992,375,FALSE,1,02.1,02,AK,Alaska
-1149158.3,-1589251,376,FALSE,1,02.1,02,AK,Alaska
-1144908.4,-1592509,377,FALSE,1,02.1,02,AK,Alaska
-1141610.9,-1594215,378,FALSE,1,02.1,02,AK,Alaska
-1137195.4,-1595559,379,FALSE,1,02.1,02,AK,Alaska
