x,y,order,hole,piece,group,fips,abbr,full,county
-1540058.2,-2433849,1425,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1541914.8,-2434057,1426,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1544241.2,-2436939,1427,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1542430.7,-2438250,1428,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1538689.5,-2436067,1429,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1536378.1,-2435365,1430,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1535979.8,-2436776,1431,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1537146.1,-2441601,1432,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1539995.3,-2442397,1433,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1542072.4,-2444084,1434,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1545455.4,-2445504,1435,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1547228.4,-2448262,1436,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1549216.6,-2450820,1437,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1551286.0,-2452852,1438,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1553840.0,-2454981,1439,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1557339.0,-2455206,1440,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1560484.5,-2454925,1441,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1562681.6,-2454918,1442,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1565156.0,-2455289,1443,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1568610.4,-2457432,1444,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1569088.4,-2458914,1445,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1572063.0,-2458824,1446,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1574053.6,-2461736,1447,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1575426.0,-2461134,1448,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1577713.1,-2462297,1449,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1581084.9,-2460719,1450,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1583841.6,-2458590,1451,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1582159.7,-2457400,1452,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1168861.8,-2051346,1453,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1168911.7,-2049793,1454,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1163975.9,-2047421,1455,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
